t,avg,var
38,50.6055,2.14378e-26
38,50.6055,1.80017e-26
38,50.6055,1.53844e-26
38,50.6055,1.28368e-26
38,50.6055,1.08578e-26
38,50.6055,9.04325e-27
39,50.6055,7.66394e-27
39,50.6055,6.64511e-27
39,50.6055,5.51723e-27
39,50.6055,4.85585e-27
39,50.6055,4.15307e-27
39,50.6055,3.60377e-27
39,50.6055,3.07164e-27
39,50.6055,2.6324e-27
39,50.6055,2.27192e-27
39,50.6055,1.96799e-27
40,50.6055,1.72161e-27
40,50.6055,1.53986e-27
40,50.6055,1.3995e-27
40,50.6055,1.31569e-27
40,50.6055,1.24299e-27
40,50.6055,1.19351e-27
40,50.6055,1.18645e-27
40,50.6055,1.17332e-27
40,50.6055,1.15514e-27
40,50.6055,1.1501e-27
41,50.6055,1.14505e-27
41,50.6055,1.14505e-27
41,50.6055,1.13192e-27
41,50.6055,1.13192e-27
41,50.6055,1.10567e-27
41,50.6055,1.10567e-27
41,50.6055,1.08749e-27
41,50.6055,1.08749e-27
41,50.6055,1.08749e-27
41,50.6055,1.08749e-27
42,50.6055,1.08749e-27
42,50.6055,1.08749e-27
42,50.6055,1.08749e-27
42,50.6055,1.08749e-27
42,50.6055,1.07437e-27
42,50.6055,1.07437e-27
42,50.6055,1.06124e-27
42,50.6055,1.05114e-27
42,50.6055,1.05114e-27
42,50.6055,1.05114e-27
43,50.6055,1.05114e-27
43,50.6055,1.03801e-27
43,50.6055,1.03297e-27
43,50.6055,1.03297e-27
43,50.6055,1.03297e-27
43,50.6055,1.03297e-27
43,50.6055,1.02792e-27
43,50.6055,1.02792e-27
43,50.6055,1.02792e-27
43,50.6055,1.02792e-27
44,50.6055,1.02792e-27
44,50.6055,1.02792e-27
44,50.6055,1.02792e-27
44,50.6055,1.02792e-27
44,50.6055,1.01479e-27
44,50.6055,1.01479e-27
44,50.6055,1.01479e-27
44,50.6055,1.00974e-27
44,50.6055,1.00974e-27
44,50.6055,1.00974e-27
45,50.6055,1.00974e-27
45,50.6055,1.00974e-27
45,50.6055,1.00974e-27
45,50.6055,1.00974e-27
45,50.6055,1.00974e-27
45,50.6055,1.00974e-27
45,50.6055,1.00974e-27
45,50.6055,1.00974e-27
45,50.6055,1.00469e-27
45,50.6055,9.91567e-28
46,50.6055,9.91567e-28
46,50.6055,9.91567e-28
46,50.6055,9.7844e-28
46,50.6055,9.7844e-28
46,50.6055,9.7844e-28
46,50.6055,9.7844e-28
46,50.6055,9.7844e-28
46,50.6055,9.7844e-28
46,50.6055,9.7844e-28
46,50.6055,9.7844e-28
47,50.6055,9.7844e-28
47,50.6055,9.7844e-28
47,50.6055,9.7844e-28
47,50.6055,9.7844e-28
47,50.6055,9.7844e-28
47,50.6055,9.7844e-28
47,50.6055,9.7844e-28
47,50.6055,9.7844e-28
47,50.6055,9.7844e-28
47,50.6055,9.7844e-28
48,50.6055,9.7844e-28
48,50.6055,9.7844e-28
48,50.6055,9.7844e-28
48,50.6055,9.7844e-28
48,50.6055,9.7844e-28
48,50.6055,9.7844e-28
48,50.6055,9.7844e-28
48,50.6055,9.7844e-28
48,50.6055,9.73391e-28
48,50.6055,9.73391e-28
49,50.6055,9.73391e-28
49,50.6055,9.73391e-28
49,50.6055,9.73391e-28
49,50.6055,9.73391e-28
49,50.6055,9.73391e-28
49,50.6055,9.73391e-28
49,50.6055,9.73391e-28
49,50.6055,9.73391e-28
49,50.6055,9.73391e-28
49,50.6055,9.73391e-28
50,50.6055,9.73391e-28
50,50.6055,9.73391e-28
50,50.6055,9.73391e-28
50,50.6055,9.73391e-28
50,50.6055,9.73391e-28
50,50.6055,9.73391e-28
50,50.6055,9.73391e-28
50,50.6055,9.73391e-28
50,50.6055,9.73391e-28
50,50.6055,9.73391e-28
51,50.6055,9.73391e-28
51,50.6055,9.73391e-28
51,50.6055,9.73391e-28
51,50.6055,9.73391e-28
51,50.6055,9.73391e-28
51,50.6055,9.73391e-28
51,50.6055,9.73391e-28
51,50.6055,9.73391e-28
51,50.6055,9.73391e-28
51,50.6055,9.73391e-28
52,50.6055,9.73391e-28
52,50.6055,9.73391e-28
52,50.6055,9.73391e-28
52,50.6055,9.73391e-28
52,50.6055,9.73391e-28
52,50.6055,9.73391e-28
52,50.6055,9.73391e-28
52,50.6055,9.73391e-28
52,50.6055,9.73391e-28
52,50.6055,9.73391e-28
53,50.6055,9.73391e-28
53,50.6055,9.73391e-28
53,50.6055,9.73391e-28
53,50.6055,9.73391e-28
53,50.6055,9.73391e-28
53,50.6055,9.73391e-28
53,50.6055,9.73391e-28
53,50.6055,9.73391e-28
53,50.6055,9.73391e-28
53,50.6055,9.73391e-28
54,50.6055,9.73391e-28
54,50.6055,9.73391e-28
54,50.6055,9.73391e-28
54,50.6055,9.73391e-28
54,50.6055,9.73391e-28
54,50.6055,9.73391e-28
54,50.6055,9.73391e-28
54,50.6055,9.73391e-28
54,50.6055,9.73391e-28
54,50.6055,9.73391e-28
55,50.6055,9.73391e-28
55,50.6055,9.73391e-28
55,50.6055,9.73391e-28
55,50.6055,9.73391e-28
55,50.6055,9.73391e-28
55,50.6055,9.73391e-28
55,50.6055,9.73391e-28
55,50.6055,9.73391e-28
55,50.6055,9.73391e-28
55,50.6055,9.73391e-28
56,50.6055,9.73391e-28
56,50.6055,9.73391e-28
56,50.6055,9.73391e-28
56,50.6055,9.73391e-28
56,50.6055,9.73391e-28
56,50.6055,9.73391e-28
56,50.6055,9.73391e-28
56,50.6055,9.73391e-28
56,50.6055,9.73391e-28
56,50.6055,9.73391e-28
57,50.6055,9.73391e-28
57,50.6055,9.73391e-28
57,50.6055,9.73391e-28
57,50.6055,9.73391e-28
57,50.6055,9.73391e-28
57,50.6055,9.73391e-28
57,50.6055,9.73391e-28
57,50.6055,9.73391e-28
57,50.6055,9.73391e-28
57,50.6055,9.73391e-28
58,50.6055,9.73391e-28
58,50.6055,9.73391e-28
58,50.6055,9.73391e-28
58,50.6055,9.73391e-28
58,50.6055,9.73391e-28
58,50.6055,9.73391e-28
58,50.6055,9.73391e-28
58,50.6055,9.73391e-28
58,50.6055,9.73391e-28
58,50.6055,9.73391e-28
59,50.6055,9.73391e-28
59,50.6055,9.73391e-28
59,50.6055,9.73391e-28
59,50.6055,9.73391e-28
59,50.6055,9.73391e-28
59,50.6055,9.73391e-28
59,50.6055,9.73391e-28
59,50.6055,9.73391e-28
59,50.6055,9.73391e-28
59,50.6055,9.73391e-28
60,50.6055,9.70362e-28
60,50.6055,9.70362e-28
60,50.6055,9.70362e-28
60,50.6055,9.70362e-28
60,50.6055,9.70362e-28
60,50.6055,9.70362e-28
60,50.6055,9.70362e-28
60,50.6055,9.70362e-28
60,50.6055,9.70362e-28
60,50.6055,9.70362e-28
61,50.6055,9.70362e-28
61,50.6055,9.70362e-28
61,50.6055,9.70362e-28
61,50.6055,9.70362e-28
61,50.6055,9.70362e-28
61,50.6055,9.70362e-28
61,50.6055,9.70362e-28
61,50.6055,9.70362e-28
61,50.6055,9.70362e-28
61,50.6055,9.70362e-28
62,50.6055,9.70362e-28
62,50.6055,9.70362e-28
62,50.6055,9.70362e-28
62,50.6055,9.70362e-28
62,50.6055,9.70362e-28
62,50.6055,9.70362e-28
62,50.6055,9.70362e-28
62,50.6055,9.70362e-28
62,50.6055,9.70362e-28
62,50.6055,9.70362e-28
63,50.6055,9.70362e-28
63,50.6055,9.70362e-28
63,50.6055,9.70362e-28
63,50.6055,9.70362e-28
63,50.6055,9.70362e-28
63,50.6055,9.70362e-28
63,50.6055,9.70362e-28
63,50.6055,9.70362e-28
63,50.6055,9.70362e-28
63,50.6055,9.70362e-28
64,50.6055,9.70362e-28
64,50.6055,9.70362e-28
64,50.6055,9.70362e-28
64,50.6055,9.70362e-28
64,50.6055,9.70362e-28
64,50.6055,9.70362e-28
64,50.6055,9.70362e-28
64,50.6055,9.70362e-28
64,50.6055,9.70362e-28
64,50.6055,9.70362e-28
65,50.6055,9.70362e-28
65,50.6055,9.70362e-28
65,50.6055,9.70362e-28
65,50.6055,9.70362e-28
65,50.6055,9.70362e-28
65,50.6055,9.70362e-28
65,50.6055,9.70362e-28
65,50.6055,9.70362e-28
65,50.6055,9.70362e-28
65,50.6055,9.70362e-28
66,50.6055,9.70362e-28
66,50.6055,9.70362e-28
66,50.6055,9.70362e-28
66,50.6055,9.70362e-28
66,50.6055,9.70362e-28
66,50.6055,9.70362e-28
66,50.6055,9.70362e-28
66,50.6055,9.70362e-28
66,50.6055,9.70362e-28
66,50.6055,9.70362e-28
67,50.6055,9.70362e-28
67,50.6055,9.70362e-28
67,50.6055,9.70362e-28
67,50.6055,9.70362e-28
67,50.6055,9.70362e-28
67,50.6055,9.70362e-28
67,50.6055,9.70362e-28
67,50.6055,9.70362e-28
67,50.6055,9.70362e-28
67,50.6055,9.70362e-28
68,50.6055,9.70362e-28
68,50.6055,9.70362e-28
68,50.6055,9.70362e-28
68,50.6055,9.70362e-28
68,50.6055,9.70362e-28
68,50.6055,9.70362e-28
68,50.6055,9.70362e-28
68,50.6055,9.70362e-28
68,50.6055,9.70362e-28
68,50.6055,9.70362e-28
69,50.6055,9.70362e-28
69,50.6055,9.70362e-28
69,50.6055,9.70362e-28
69,50.6055,9.70362e-28
69,50.6055,9.70362e-28
69,50.6055,9.70362e-28
69,50.6055,9.70362e-28
69,50.6055,9.70362e-28
69,50.6055,9.70362e-28
69,50.6055,9.70362e-28
70,50.6055,9.70362e-28
70,50.6055,9.70362e-28
70,50.6055,9.70362e-28
70,50.6055,9.70362e-28
70,50.6055,9.70362e-28
70,50.6055,9.70362e-28
70,50.6055,9.70362e-28
70,50.6055,9.70362e-28
70,50.6055,9.70362e-28
70,50.6055,9.70362e-28
71,50.6055,9.70362e-28
71,50.6055,9.70362e-28
71,50.6055,9.70362e-28
71,50.6055,9.70362e-28
71,50.6055,9.70362e-28
71,50.6055,9.70362e-28
71,50.6055,9.70362e-28
71,50.6055,9.70362e-28
71,50.6055,9.70362e-28
71,50.6055,9.70362e-28
72,50.6055,9.70362e-28
72,50.6055,9.70362e-28
72,50.6055,9.70362e-28
72,50.6055,9.70362e-28
72,50.6055,9.70362e-28
72,50.6055,9.70362e-28
72,50.6055,9.70362e-28
72,50.6055,9.70362e-28
72,50.6055,9.70362e-28
72,50.6055,9.70362e-28
73,50.6055,9.70362e-28
73,50.6055,9.70362e-28
73,50.6055,9.70362e-28
73,50.6055,9.70362e-28
73,50.6055,9.70362e-28
73,50.6055,9.70362e-28
73,50.6055,9.70362e-28
73,50.6055,9.70362e-28
73,50.6055,9.70362e-28
73,50.6055,9.70362e-28
74,50.6055,9.70362e-28
74,50.6055,9.70362e-28
74,50.6055,9.70362e-28
74,50.6055,9.70362e-28
74,50.6055,9.70362e-28
74,50.6055,9.70362e-28
74,50.6055,9.70362e-28
74,50.6055,9.70362e-28
74,50.6055,9.70362e-28
74,50.6055,9.70362e-28
75,50.6055,9.70362e-28
75,50.6055,9.70362e-28
75,50.6055,9.70362e-28
75,50.6055,9.70362e-28
75,50.6055,9.70362e-28
75,50.6055,9.70362e-28
75,50.6055,9.70362e-28
75,50.6055,9.70362e-28
75,50.6055,9.70362e-28
75,50.6055,9.70362e-28
75,50.6055,9.70362e-28
76,50.6055,9.70362e-28
76,50.6055,9.70362e-28
76,50.6055,9.70362e-28
76,50.6055,9.70362e-28
76,50.6055,9.70362e-28
76,50.6055,9.70362e-28
76,50.6055,9.70362e-28
76,50.6055,9.70362e-28
76,50.6055,9.70362e-28
76,50.6055,9.70362e-28
77,50.6055,9.70362e-28
77,50.6055,9.70362e-28
77,50.6055,9.70362e-28
77,50.6055,9.70362e-28
77,50.6055,9.70362e-28
77,50.6055,9.70362e-28
77,50.6055,9.70362e-28
77,50.6055,9.70362e-28
77,50.6055,9.70362e-28
77,50.6055,9.70362e-28
78,50.6055,9.70362e-28
78,50.6055,9.70362e-28
78,50.6055,9.70362e-28
78,50.6055,9.70362e-28
78,50.6055,9.70362e-28
78,50.6055,9.70362e-28
78,50.6055,9.70362e-28
78,50.6055,9.70362e-28
78,50.6055,9.70362e-28
78,50.6055,9.70362e-28
79,50.6055,9.70362e-28
79,50.6055,9.70362e-28
79,50.6055,9.70362e-28
79,50.6055,9.70362e-28
79,50.6055,9.70362e-28
79,50.6055,9.70362e-28
79,50.6055,9.70362e-28
79,50.6055,9.70362e-28
79,50.6055,9.70362e-28
79,50.6055,9.70362e-28
80,50.6055,9.70362e-28
80,50.6055,9.70362e-28
80,50.6055,9.70362e-28
80,50.6055,9.70362e-28
80,50.6055,9.70362e-28
80,50.6055,9.70362e-28
80,50.6055,9.70362e-28
80,50.6055,9.70362e-28
80,50.6055,9.70362e-28
80,50.6055,9.70362e-28
81,50.6055,9.70362e-28
81,50.6055,9.70362e-28
81,50.6055,9.70362e-28
81,50.6055,9.70362e-28
81,50.6055,9.70362e-28
81,50.6055,9.70362e-28
81,50.6055,9.70362e-28
81,50.6055,9.70362e-28
81,50.6055,9.70362e-28
81,50.6055,9.70362e-28
82,50.6055,9.70362e-28
82,50.6055,9.70362e-28
82,50.6055,9.70362e-28
82,50.6055,9.70362e-28
82,50.6055,9.70362e-28
82,50.6055,9.70362e-28
82,50.6055,9.70362e-28
82,50.6055,9.70362e-28
82,50.6055,9.70362e-28
82,50.6055,9.70362e-28
83,50.6055,9.70362e-28
83,50.6055,9.70362e-28
83,50.6055,9.70362e-28
83,50.6055,9.70362e-28
83,50.6055,9.70362e-28
83,50.6055,9.70362e-28
83,50.6055,9.70362e-28
83,50.6055,9.70362e-28
83,50.6055,9.70362e-28
83,50.6055,9.70362e-28
84,50.6055,9.70362e-28
84,50.6055,9.70362e-28
84,50.6055,9.70362e-28
84,50.6055,9.70362e-28
84,50.6055,9.70362e-28
84,50.6055,9.70362e-28
84,50.6055,9.70362e-28
84,50.6055,9.70362e-28
84,50.6055,9.70362e-28
84,50.6055,9.70362e-28
85,50.6055,9.70362e-28
85,50.6055,9.70362e-28
85,50.6055,9.70362e-28
85,50.6055,9.70362e-28
85,50.6055,9.70362e-28
85,50.6055,9.70362e-28
85,50.6055,9.70362e-28
85,50.6055,9.70362e-28
85,50.6055,9.70362e-28
85,50.6055,9.70362e-28
86,50.6055,9.70362e-28
86,50.6055,9.70362e-28
86,50.6055,9.70362e-28
86,50.6055,9.70362e-28
86,50.6055,9.70362e-28
86,50.6055,9.70362e-28
86,50.6055,9.70362e-28
86,50.6055,9.70362e-28
86,50.6055,9.70362e-28
86,50.6055,9.70362e-28
87,50.6055,9.70362e-28
87,50.6055,9.70362e-28
87,50.6055,9.70362e-28
87,50.6055,9.70362e-28
87,50.6055,9.70362e-28
87,50.6055,9.70362e-28
