t,mean_latency,var_latency,queue_size
559,0.199072,0.00251883,1000
560,0.199114,0.00246233,1000
561,0.200314,0.00242065,1000
562,0.199802,0.00245818,1000
563,0.200061,0.00254658,1000
564,0.201465,0.00263752,1000
565,0.20163,0.00244277,1000
566,0.199024,0.0024225,1000
567,0.199725,0.00252768,1000
568,0.200267,0.00246886,1000
569,0.200673,0.00251616,1000
570,0.199345,0.00260386,1000
571,0.200678,0.00244377,1000
572,0.198985,0.00258902,1000
573,0.200061,0.00257982,1000
574,0.198993,0.00242599,1000
575,0.197681,0.00246148,1000
576,0.200308,0.00247874,1000
577,0.202425,0.00258599,1000
578,0.199847,0.00262848,1000
579,0.200031,0.00256489,1000
580,0.201719,0.00233869,1000
581,0.200797,0.0024317,1000
582,0.199325,0.00251687,1000
583,0.198077,0.00249221,1000
584,0.201314,0.00251347,1000
585,0.201043,0.00257854,1000
586,0.199209,0.00253289,1000
587,0.200268,0.00257167,1000
588,0.198997,0.00253998,1000
589,0.201691,0.00257212,1000
590,0.20029,0.00254468,1000
591,0.201679,0.00244814,1000
592,0.202443,0.00246619,1000
593,0.198598,0.0024443,1000
594,0.200287,0.00240656,1000
595,0.201244,0.00248815,1000
596,0.200287,0.00254129,1000
597,0.201867,0.0024714,1000
598,0.199229,0.00257565,1000
599,0.200822,0.00259835,1000
600,0.19942,0.00242263,1000
601,0.199204,0.00249274,1000
602,0.201659,0.00262548,1000
603,0.20025,0.00254276,1000
604,0.19851,0.00251365,1000
605,0.199604,0.00255626,1000
606,0.200426,0.00255589,1000
607,0.200777,0.00236947,1000
608,0.201206,0.00245207,1000
609,0.200222,0.00254765,1000
610,0.199881,0.0025034,1000
611,0.198803,0.00242384,1000
612,0.199686,0.00247639,1000
613,0.200735,0.00246053,1000
614,0.200147,0.00232453,1000
615,0.199158,0.0024688,1000
616,0.201854,0.00235277,1000
617,0.201342,0.002514,1000
618,0.199228,0.00240657,1000
619,0.199539,0.00256301,1000
620,0.200328,0.00242354,1000
621,0.198614,0.00245605,1000
622,0.199337,0.00249749,1000
623,0.199591,0.00253445,1000
624,0.200211,0.00249277,1000
625,0.200576,0.00254098,1000
626,0.200276,0.00259745,1000
627,0.199513,0.00251438,1000
628,0.197708,0.00245368,1000
629,0.200114,0.00260915,1000
630,0.200176,0.0025956,1000
631,0.200394,0.00241369,1000
632,0.199924,0.0024376,1000
633,0.199102,0.00243649,1000
634,0.199116,0.00235062,1000
635,0.19992,0.00246883,1000
636,0.198378,0.00253663,1000
637,0.200303,0.00255939,1000
638,0.198803,0.00252508,1000
639,0.197937,0.00245437,1000
640,0.198201,0.00247369,1000
641,0.198443,0.00261179,1000
642,0.201563,0.0025471,1000
643,0.201505,0.00251975,1000
644,0.200726,0.0025658,1000
645,0.20039,0.00247159,1000
646,0.201565,0.00240288,1000
647,0.200473,0.00249155,1000
648,0.200099,0.00255457,1000
649,0.200347,0.00251487,1000
650,0.202254,0.00242407,1000
651,0.199549,0.00250918,1000
652,0.19878,0.00249244,1000
653,0.201242,0.00246946,1000
654,0.199463,0.0024694,1000
655,0.200536,0.00248708,1000
656,0.201931,0.00247262,1000
657,0.199792,0.00245245,1000
658,0.200481,0.00258677,1000
659,0.199615,0.00248144,1000
660,0.202033,0.00242345,1000
661,0.199516,0.00252918,1000
662,0.199845,0.00244289,1000
663,0.200574,0.00250988,1000
664,0.201056,0.00264949,1000
665,0.198036,0.00245013,1000
666,0.201717,0.00258946,1000
667,0.198961,0.00241828,1000
668,0.200995,0.0025486,1000
669,0.198714,0.00261159,1000
670,0.198587,0.00254187,1000
671,0.200518,0.00253347,1000
672,0.200708,0.0025433,1000
673,0.197306,0.0024443,1000
